30-01-2020;Verkopen;13;113.70;1563.52
13-02-2020;Kopen;12;124.80;65.92
18-02-2020;Verkopen;12;115.60;1453.12
25-03-2020;Kopen;17;83.80;28.52
14-05-2020;Verkopen;17;103.90;1794.82
02-06-2020;Kopen;15;112.50;107.32
16-07-2020;Verkopen;15;145.00;2282.32
26-08-2020;Kopen;17;130.50;63.82
28-08-2020;Verkopen;17;126.10;2207.52
01-09-2020;Kopen;17;129.30;9.42
04-09-2020;Verkopen;17;118.30;2020.52
18-09-2020;Kopen;17;118.10;12.82
22-10-2020;Verkopen;17;130.10;2224.52
06-11-2020;Kopen;15;142.80;82.52
10-11-2020;Verkopen;15;127.70;1998.02
16-11-2020;Kopen;14;138.00;66.02
27-01-2021;Verkopen;14;202.20;2896.82
